TID,Mental Space,Task tower,Atomic task,ID,Type,CleanType,Quote,Quote 2,Quote 3,Quote 4
472,Create the RH product,Grab from upstream,Pick up community release,PG,PE,PE,[00:02:49] It's handed over to someone that's normally an engineer on a group it happens to be me in this case,,,
32,Create the RH product,Grab from upstream,Upload code from upstream into repositories,EN,PE,PE,[00:25:52] we can upload the code coming from upstream and this of course differs between the releases,,,
493,Create the RH product,Troubleshooting,Determine if code needs to be rewritten,PG,PE,PE," [00:10:33] might also mean that we have to rewrite code within the Vertex modules to work around the deprecated APIs or new features or, different we have some work entirely. ",,,
464,Create the RH product,Troubleshooting,Fix issues identified by QE,AS,PE,PE,[00:47:51] some QE testing involved in there so we typically might have to fix something as a result of those tests.,,,
424,Create the RH product,Troubleshooting,Fix things from upstream packages,AS,PE,PE, So we may at some point have to fix things in those packages,,,
425,Create the RH product,Troubleshooting,Hack around to get correct set of artifacts in a package,AS,PE,PE,"[00:16:32] In short, I hate using the word, but we have to hack around and try and get the correct set of artifacts in there that we need.",,,
336,Create the RH product,Write custom code for productization,Write additional metadata that is not included in tooling process,RH,RCM,RCM,"[00:05:35] They're also using this new hotness that's coming up from open shift called, operators which is like a container plus more. It has some like additional layer of metadata that currently isn't part of our tooling process although that is being more integrated into the tooling process.",,,
338,Create the RH product,Write custom code for productization,Write custom for non-supported understandings (e.g. modules),AH,RCM,RCM,00:31:27] Now we have to rewrite all of those from scratch and add a whole bunch of logic for the parts that are missing from that understanding.,,,
523,Do build,Analyze build failures,Analyse why something did not build,PG,PE,PE,"[00:35:43] I should be spending more time analyzing why it didn't build, not trying to figure out which one didn't,",,,
520,Do build,Analyze build failures,Determine what part of the build failed,PG,PE,PE,the main use of the GUI to me is actually to work out what has failed.,,,
521,Do build,Analyze build failures,Distinguish between different types of build failures,PG,PE,PE,[00:34:10] I need to distinguish between a real failure in the build or failure because one of the independent builds failed.,,,
522,Do build,Analyze build failures,Drill down into builds to figure out root cause of failure,PG,PE,PE,[00:35:14] when you've got when you've got 40 builds and you've got a click through four pages of them - because it only shows ten per page - you've got you've got to work out yourself by clicking on each to see if it's a dependent failure in the build log,,,
447,Do build,Build deliverables,Build additional candidate releases,AS,PE,PE,"We will get a new hand over then we'll build another candidate release, QE test, and we go through that cycle until we have something that's valid for GA",,,
154,Do build,Build deliverables,Build appliances,JB,RCM,RCM,"[00:02:16] I do for RCM like image building, appliance building, kind of help troubleshooting with that. ",,,
155,Do build,Build deliverables,Build configurations for modules,RH,RCM,RCM,00:27:49] this was just procedural things like hey I've got six more modules to build of the clips you just give me the build configuration so I can start working with this. ,,,
465,Do build,Build deliverables,Build container images,AS,PE,PE,[00:49:06] then we start to generate things like container images,,,
156,Do build,Build deliverables,Build for different platforms (Ubuntu) with code (core?) engineering,AH,RCM,RCM,[00:52:08] I know that we use code engineering for the Ubuntu stuff because dist-git doesn't support the Ubuntu. ,,,
157,Do build,Build deliverables,Build images,JB,RCM,RCM,"[00:02:16] I do for RCM like image building, appliance building, kind of help troubleshooting with that. ",,,
158,Do build,Build deliverables,Build test builds for customers,AH,RCM,RCM,[00:21:05] For example when a customer needs a certain test build or something that can't be delivered in the normal way. And you know they call on RCM to set up a side system for it. Things like that.,,,
458,Do build,Build deliverables,Build with brew,AS,PE,PE,[00:44:50] Once we've done that we import the missing artifacts then we'll start the brew build.,,,
12,Do build,Build deliverables,Create manifest files,EE,PE,PE,"[00:13:54] every container imaginable needs to an tar ball and you need to create the manifest file and the security checks were raised. You need to make sure the container catalog is updated. So we try to make sure that all those milestones are taken into account. Also moving errata to QE, you know not at the last minute",,,
11,Do build,Build deliverables,Create tar ball for containers,EE,PE,PE,"[00:13:54] every container imaginable needs to an tar ball and you need to create the manifest file and the security checks were raised. You need to make sure the container catalog is updated. So we try to make sure that all those milestones are taken into account. Also moving errata to QE, you know not at the last minute",,,
416,Do build,Build deliverables,Generate cloud images,AS,PE,PE,"[00:09:49] we take the repositories and the commits, put them into our config and we build this in brew. [9.3] [00:10:15] After this we'll generate things like maven repositories. We also do cloud images too. Those are built in OSBS app which is basically an extension of brew",,,
415,Do build,Build deliverables,Generate maven repositories,AS,PE,PE,[00:10:15] After this we'll generate things like maven repositories. We also do cloud images too. Those are built in OSBS app which is basically an extension of brew,,,
536,Do build,Build process,Automatically adjust build config file,PG,PE,PE,you've got to automatically adjust your build configuration file that gets put through PFG to update PNC,,,
456,Do build,Build process,Build locally to look for missing artifacts,AS,PE,PE,What we tend to do was we then build this locally first then we can check,,,
513,Do build,Build process,Change configurations and run builds to see if it will build,PG,PE,PE, Change a lot of things running them until the until you get them right. ,,,
21,Do build,Build process,Do new build after QE changes,EN,PE,PE,"[00:10:27] There could be multiple builds because we started with one build. Maybe QE find something not working with, that build or some other problems, or maybe they are adding some small improvements and they actually do a multiple builds for release and only the latest build usually goes into the release.",,,
442,Do build,Build process,Fix identified issues from nightly builds early if possible,AS,PE,PE,We may try and address anything that effect that that's problematic for us beforehand if we get the chance.,,,
457,Do build,Build process,Import missing artifacts,AS,PE,PE,[00:44:50] Once we've done that we import the missing artifacts then we'll start the brew build.,,,
36,Do build,Build process,Rebuild if dependent components change,EN,PE,PE,[00:30:31] Sometimes there is a connection because certain component depends on the version of another of another component. So when one component is built or rebuilt then the component that depends on it should be also rebuilt. ,,,
462,Do build,Build process,Send builds to QE through UMB,AS,PE,PE,[00:47:09] we would then send this to QE via the method I discussed earlier with you UMB message those guys run some smoke tests which are essentially a very basic set of tests to test the sanity of the build to make sure it's something that they even want to take a look ,,,
35,Do build,Build process,Trigger build,EN,PE,PE,[00:27:35] who actually do the actual build we use a few tools to do the builds. The builds happen in some internal RHEL (?) system. But we used to trigger this with some tools from our machines usually or maybe from some automation system. ,,,
423,Do build,Give build to QE,Retrigger failed Jenkins builds with UMB,AS,PE,PE,[00:14:58] if if a job failed to happen to retrigger the UMB message to run on the other side whereas its easy to just trigger the job if it exists in the same Jenkins,,,
420,Do build,Give build to QE,Trigger jobs in QE Jenkins,AS,PE,PE,we also run some jobs in the QE Jenkins. We usually trigger these by a CI message and it passes them the link to the build artifact and they can run some tests on those,,,
542,Do build,Monitor build,Analyze what is going on during builds,PG,PE,PE,also during that process you also want to analyze what's going on or else there's no point. It needs to tell us. So dexterous scripts and analytic tools written that says after build step. We have five more artifacts that are non Red Hat this time round that we didn't last time. Therefore you've got a database of query you didn't have last time. ,,,
515,Do build,Monitor build,Cancel build if its not working as expected,PG,PE,PE,"[00:29:40] It might be 10 minutes into an hour build. Well if I if I know it hasn't done what I expected it to do, I can cancel the build and go and figure it out.",,,
519,Do build,Monitor build,Monitor logs to see if changes were successful,PG,PE,PE, I'd want to watch for them changes being effected inside the runtime of the logs.,,,
514,Do build,Monitor build,Watch build for success of changes,PG,PE,PE,"[00:29:40] It might be 10 minutes into an hour build. Well if I if I know it hasn't done what I expected it to do, I can cancel the build and go and figure it out.",,,
511,Do build,Monitor build,Watch build log output in real time,PG,PE,PE,[00:28:12] So if you start the build off you'll actually see the output of the build log in real time which is quite useful. ,,,
385,Do build,Trigger builds,Builds run automatically for some products,AH,RCM*PE,AUTO,"[00:22:36] So if you work on CEPH, the number of RCM tickets you'll have to submit are pretty low because you can basically all the builds are done automatically and generating artifacts for quality assurance the tests are all done automatically. ",,,
441,Do build,Trigger builds,Run nightly builds,AS,PE,PE,[00:34:46] we actually do run a lot of nightly builds.,,,
13,Do build,Verify build,Complete security checks,EE,PE,PE,"[00:13:54] every container imaginable needs to an tar ball and you need to create the manifest file and the security checks were raised. You need to make sure the container catalog is updated. So we try to make sure that all those milestones are taken into account. Also moving errata to QE, you know not at the last minute",,,
39,Do build,Verify build,Run build though container checks,EN,PE,PE,[00:39:33] So once we have the builds there is a set of possible checks. These depend on the type of the component. If it is contained there are certain checks and if it's RPM there are another sort of checks.,,,
38,Do build,Verify build,Run build through RPM checks,EN,PE,PE,[00:39:33] So once we have the builds there is a set of possible checks. These depend on the type of the component. If it is contained there are certain checks and if it's RPM there are another sort of checks.,,,
4,Do build,Verify build,Test builds on specific downstream configurations,EE,PE,PE,"[00:04:31] It's basically taking all the extra bits and Red Hat ties in them so you know it but it's branding, okay, and making sure that the downstream product looks, have the UI and they look and feel of a red hat product. It means that the downstream layer of product so you test on RHEL and not on CentOS, you test on downstream Ansible and not upstream Ansible and so forth.",,,
503,Improving processes,Automate tasks,Automate putting the same tag on every repo,PG,PE,PE,"[00:16:31] ""Here's the tag"" and then that tag gets applied to all the builds that we've put the meta information in about.",,,
142,Improving processes,Automate tasks,"Automate tasks, supported by accurate error codes",AH,RCM,RCM,[00:20:42] And as a result automation is really slow and tedious. So we don't really make much progress on it except in these very specific cases.,,,
141,Improving processes,Automate tasks,Build automation for new products,JB,RCM,RCM,We were able to build up the automation.,,,
143,Improving processes,Automate tasks,Experiment with new ideas for automation,AH,RCM,RCM,"[00:47:51] one of the CEPH productization engineers has made an Ansible module for interacting with brew and Koji. So When that, that already has enough features for us to use to for example get [?] for CEPH up in brew. We're gonna be experimenting with that for CEPH 3.3 When that comes out. 3.2 Configuration has already been set. So if goes well then hopefully we can see that more widespread across release engineering ",,,
507,Improving processes,Automate tasks,Parameterize options in config files to cut down on manual work,PG,PE,PE,"[00:20:09] normally... If one of them needs an option, they probably all need the option, which means I can parameterize it and pass in as a variable then and change one place",,,
145,Improving processes,Automate tasks,Write automation for tasks,AH; JB,RCM,RCM,[00:23:40] trying to accomplish these tasks here every two weeks means that we have very little time to actually work on our own automation situation. ,"[00:06:35] I talk to Stan Slav [?[ Well it's going to take you a couple of days to do this, and I was like No, I'll find a way. It took me about maybe three hours to find a way to do it and automate it. ",,
502,Improving processes,Improve processes,Build CLI tooling system where there isn't one,PG,PE,PE, [00:16:16] What me and a few of the others had to do was write an entirely new tooling system over PNC because it's far easier for us to configure our builds in one configuration file,,,
508,Improving processes,Improve processes,Build missing tooling that was unsupported,PG,PE,PE,they were in the hopes that they would get engineers like myself who would actually fill in the gap and do it. And we did. ,,,
411,Improving processes,Improve processes,Create build pipeline,AS,PE,PE,[00:02:43] Our mission is to try to get some of the legacy build processes kind of moved over into this new build system and wrap a reasonable pipeline around that so that hopefully we can you know improve the turnaround and build it and reduce the pain for folks.,,,
239,Improving processes,Improve processes,Iterate on brew tool,AH,RCM,RCM,"[00:30:05] brew is the other name of Koji. And configurations there, there's kind of like a best practice type setup that people will iterate, make iterated changes on. ",,,
422,Improving processes,Improve processes,Merge Jenkins instances with QE,AS,PE,PE,"[00:14:05] ,we do intend on merging our Jenkin's instance so the community had its own Jenkin's instance, the product side has had its own. Now those two are merged and I guess the intention is to merge the QE into ours at some point.",,,
410,Improving processes,Improve processes,Move legacy processes to new build system,AS,PE,PE,[00:02:43] Our mission is to try to get some of the legacy build processes kind of moved over into this new build system and wrap a reasonable pipeline around that so that hopefully we can you know improve the turnaround and build it and reduce the pain for folks.,,,
289,Improving processes,Improve processes,Plan MVP for new technologies,RH,RCM,RCM,"[00:29:35] a glorified jira epic where we have a list of things that should be defined there like what is the overall goal. What's the cost of not doing this thing. And then some scope what's in scope what's out of scope. Who's asking for it, you know what's what. What is the breadth of impacts internally and externally. How many teams are going to be involved, identifying the level of effort and so we have a multi-stage process for just vetting like forming that request.",,,
427,Improving processes,Improve processes,Request changes to product assembly,AS,PE*PM,PM,[00:16:44] We might after make changes to our product assembly based upon changes that are requested via our whole program management team.,,,
534,Improving processes,Improve processes,Set up Ansible scripts for internal machines,PG,PE,PE,[00:48:26] Now. In fact I've just today started to go back to Ansible scripts set up for my internal machines and once that's up and running I'll try and put some sort of automation together ,,,
202,Improving processes,Improve processes,Set up metadata to support subscriptions and entitlements,AH,RCM,RCM,[00:03:58] Most of the complication is around like how do we manage a subscriptions and things like that. You know mapping the different entitlements to the different SKUs and that sort of thing and RCM doesn't actually manage that but we have to set up the metadata that's used for this system. ,,,
333,Improving processes,Improve processes,Use modules and scripts written by PEs to build upon,AH,RCM,RCM,"[00:47:51] one of the CEPH productization engineers has made an Ansible module for interacting with brew and Koji. So When that, that already has enough features for us to use to for example get [?] for CEPH up in brew. We're gonna be experimenting with that for CEPH 3.3 When that comes out. 3.2 Configuration has already been set. So if goes well then hopefully we can see that more widespread across release engineering ",,,
505,Improving processes,Improve processes,Write generators for deliverables,PG,PE,PE,[00:18:09] we've written generators.,,,
138,Improving processes,Improve QE processes,Assign team member to troubleshoot an issue,NC,QE,QE, [00:37:33] Ask somebody to analyze and figure out what went wrong and try to fix it!,,,
90,Improving processes,Improve QE processes,Improve QE processes,NC,QE,QE,[00:04:43] There are so many things to improve ,,,
98,Improving processes,Improve QE processes,Share tests with other teams,NC,QE,QE,[00:09:24] QE doesn't get a broken build and so that if we always least deploy and the very basic features must work always. So I do see us sharing our tests to make that happen,,,
123,Improving processes,Improve QE processes,Write job to fetch CDN,NC,QE,QE,[00:27:14] Yes but we also have jobs for upstream. And then we finish upstream. We also have jobs to verify CDN stage and then we fetch CDN stage.,,,
122,Improving processes,Improve QE processes,Write job to fetch upstream,NC,QE,QE,[00:27:14] Yes but we also have jobs for upstream. And then we finish upstream. We also have jobs to verify CDN stage and then we fetch CDN stage.,,,
147,Improving processes,Write scripts,Write custom scripts,AH; RH,RCM,RCM,[00:05:28] I work with command line tools and web interfaces that are provided by other teams in the dev ops group or just sort of scripts that we maintain ourselves.,"[00:10:14] has their own set of notes and scripts that encode the properties, ",[00:02:25] the fancy scripts or scripting work to make it not an unbearably manual thing.,
516,Improving processes,Write scripts,Write groovy code inside POM,PG,PE,PE,"When the groovy scripts run, I have full access, went out in my groovy code that I write",,,
518,Improving processes,Write scripts,Write groovy script to alter source code,PG,PE,PE," And that saves me from manually going and altering all the source every time I want to do it. I can write a groovy script that's one off ,That's generic. It runs over every time and does the right thing. ",,,
270,Improving processes,Write scripts,Write script to write container names based on errata tool info,JB,RCM,RCM,"[00:36:37] I went into errata tool, grabbed the list containers, I've like a little script that kind of meshes the words apart and spits out the command for.",,,
149,Improving processes,Write scripts,Write scripts to improve internal processes,RH,RCM,RCM,00:02:37] there's some times where I get to work on like those processes a little bit internally and try to write stuff to make those a little bit better. ,,,
448,Improving processes,Write tooling,Create update tooling,AS,PE*UD,UD,"[00:40:06] what I mentioned by update tool was that it was developed, maintained, by our guy from upstream.",,,
337,Improving processes,Write tooling,Write an interface for an operation,RH,RCM,RCM,"[00:23:50] in our other Q are more or RCM like internal process sort of things like: investigate, you know, why we do this a certain way and/or, document this process because we don't have any documentation on it or, write a better way to or an easier interface for doing Operation X, and documented that sort of stuff",,,
560,Improving processes,Write tooling,Write bots to do maintenance,MP,UD,UD,"it's not just doing CI for us, it's also doing routine maintenance for us. We call these bots. ",,,
488,Improving processes,Write tooling,Write tools to analyse build log,PG,PE,PE,[00:09:46] I've wrote a few extra analyzing tool that goes over the build log and sees what's not being aligned to a Red Hat build and therefore can give us a list of these these things have not come out as Red Hat builds,,,
237,Learn the productization process,Be an expert,Consult on specific needs,RH,RCM,RCM,"[00:22:15] when we work with specific specific products, you typically pull in the release engineer associated with that product because they know any secrets to it or like a weird eccentricities that they might have",,,
365,Learn the productization process,Be an expert,Determine impact of changes in code,AH,RCM,RCM,[00:05:15] you really need experts in the tools to tell you like how long something is going to be or what the impact of the changes.,,,
366,Learn the productization process,Be an expert,Determine time estimates,AH,RCM,RCM,[00:05:15] you really need experts in the tools to tell you like how long something is going to be or what the impact of the changes.,,,
272,Learn the productization process,Be an expert,Fix naming conventions that engineers submit incorrectly,AH,RCM,RCM,"[00:50:23] we use naming conventions across most of the tools to link things together. So if someone opens a ticket that doesn't have exactly the correct configuration, right now a release engineer can do that mapping you know as a human. ",,,
78,Learn the productization process,Be an expert,Monitor changes in underlying and dependent products,NC,QE,QE,[00:01:21] things change in underlying products or in dependent products,,,
87,Learn the productization process,Be an expert,Proactively determine what versions to test with,NC,QE,QE,[00:03:24] I saw a request to test with this specific vision of OCP which was actually sent to OCS not to me. ,,,
164,Learn the productization process,Educate about release process,Answer questions about release date guidelines,RH,RCM,RCM,"[00:15:56] And to answer questions if like you know ""can we do this release tomorrow?"". And I can be like ""No it's tomorrow's Friday. We don't release on Fridays"" or like we're want to release this new thing or this thing to a new place. Then I chime in about like either yes or no. Or I have to get back to you on that. Or maybe I have more information for you on the context. ",,,
165,Learn the productization process,Educate about release process,Answer questions from product about release readiness,RH,RCM,RCM,[00:49:10] And then sometimes they're like hey we're trying to move this advisory to push ready state. Why can't we? And I'll look at the same thing that they could look at and it tells you why. like it because docs wasn't approved yet or security hasn't improved this or something like that.,,,
247,Learn the productization process,Educate about release process,Educate teams on release workflow,JB,RCM,RCM,[00:42:13] getting everybody to understand the workflow is probably the the hardest part.,,,
250,Learn the productization process,Educate about release process,Know what tasks are needed for specific types of tickets,AH,RCM,RCM,"[00:24:40] someone will go in and push the ticket through the stages of the workflow, do the work, and then ask for feedback. ",,,
343,Learn the productization process,Educate about release process,Look up documentation to help answer questions for product teams,RH,RCM,RCM,"[00:41:37] If you're new to RCM and so that's when they might reach out to somebody else like ""hey look you know here's the problem how do I handle this"". And a good RCM engineer would say like ""well hold on here. You need to re ask some questions about ask some questions about that"" but they can also be like ""Here's the docs and here's in particular and the documentation of where that particular question is addressed"" and it so happens that all the rest of the stuff you're going to have to do associated with that, is also addressed in this doc.",,,
274,Learn the productization process,Educate about release process,Educate newly acquired teams on release process,JB,RCM,RCM, [00:17:04] we basically just sat down in the conference room and worked through the whole process,,,
44,Learn the productization process,Figure out what a product needs,Follow development patterns from other products,EN,PE,PE,"[00:42:12] other projects, more specifically Open Shift, took the decision to use only one advisory for all the components.",,,
373,Learn the productization process,Figure out what a product needs,"Investigate what in a product should change, vs the process should change",RH,RCM,RCM,"[00:03:45] Quay and CoreOS are two new things that I'm working with right now and there's the question of how much do we make them conform to our current patterns and how much should we not expect them to, actually change things for them. ",,,
217,Learn the productization process,Figure out what a product needs,Map how a product understands its components to how tools work,AH,RCM,RCM,[00:30:40] There have been efforts to try to capture standards that wouldn't need too many exceptions. But finding the right abstraction is pretty difficult especially because these configurations are often translated just to fit into the tool's concept of how to do things which may not necessarily map cleanly to how the product understands its components. ,,,
195,Learn the productization process,Figure out what a product needs,Translate a product teams requirements to release assets,RH,RCM,RCM,[00:39:22] Because a product team can't just come up to you and say that because they don't have enough of the detailed knowledge to be like I need x amount of repositories and they ought to be like this this and this. So sort of translating requirements to what is needed.,,,
255,Learn the productization process,Figure out what a product needs,Understand how products understand its components,AH,RCM,RCM,[00:30:40] There have been efforts to try to capture standards that wouldn't need too many exceptions. But finding the right abstraction is pretty difficult especially because these configurations are often translated just to fit into the tool's concept of how to do things which may not necessarily map cleanly to how the product understands its components. ,,,
334,Learn the productization process,Figure out what a product needs,Work with build system to support engineering needs,AH,RCM,RCM,[00:06:21] during the development phase is when we're constantly working on the build system and trying to get things to work given the way that engineering needs it to work. ,,,
159,Learn the productization process,Figure out what a product needs,Work with others to translate requirements to configurations,RH,RCM,RCM,[00:02:14] Sometimes to translate requirements to configuration can take some other coordination with other people if it's something brand new.,,,
588,Learn the productization process,Fill in information gaps,Inform PM of what various values for a form are,VR,PM*RCM,RCM,I had no idea what was the name of the branches or the repositories or anything. Right? So I had to ping RCM of service mesh and be like Hey how do I do this? ,,,
587,Learn the productization process,Fill in information gaps,Reach out to others to find necessary information for filling in forms/requests,VR,PM,PM,I had no idea what was the name of the branches or the repositories or anything. Right? So I had to ping RCM of service mesh and be like Hey how do I do this? ,,,
320,Learn the productization process,Follow documented practices,Review checklist with product teams to find what is missing,RH,RCM,RCM,[00:49:50] I see that little thing that's an X instead of a checkmark. That's what we need.,,,
88,Learn the productization process,Follow documented practices,Follow guidelines set by RCM,NC,QE,QE,[00:04:23] we're supposed to use Comet,,,
271,Learn the productization process,Follow documented practices,Enforce repository naming conventions,AH,RCM,RCM,[00:53:32] for RHEL 8 and beyond Going to start enforcing naming conventions for things like repositories ,,,
221,Learn the productization process,Follow documented practices,Follow release template if available,JB,RCM,RCM,"[00:27:02] when we did certain releases we'll have a template like hey what are the deliverables for this release tarballs, containers, ISOs... ",,,
436,Learn the productization process,Follow documented practices,Follow rules and regulations for maven repositories,AS,PE,PE,[00:28:05] there is actually a separate document for the Maven repository. Which covers the rules and regulations for providing those too.,,,
273,Learn the productization process,Follow documented practices,Manage naming conventions to link tools together,AH,RCM,RCM,"[00:50:23] we use naming conventions across most of the tools to link things together. So if someone opens a ticket that doesn't have exactly the correct configuration, right now a release engineer can do that mapping you know as a human. ",,,
582,Learn the productization process,Follow documented practices,Refer to documentation to find what needs to be done for productization,VR,PM,PM,Let's dig into mojo pages to find out what's needed to that.,,,
216,Learn the productization process,Follow documented practices,Reference list of templates,JB,RCM,RCM,We also have like a Google spreadsheet which I don't know is actually even active anymore but it has a list of like common ones. And I still reference it from time to time.,,,
589,Learn the productization process,Follow documented practices,Reference outdated documentation,VR,PM,PM,So there is still some documentation floating around that it's kind of outdated and still refers sometimes to that spreadsheet.,,,
454,Learn the productization process,Follow documented practices,Reference prod gates documentation,AS,PE,PE,The prod gates Don't really say much about our process but they say more about the deliverables that you might deliver and the rules up those deliverables must follow before they can be released,,,
5,Learn the productization process,Follow documented practices,Utilize tools built by RCM for RH products,EE,PE,PE,"[00:05:01] It means that you utilize all the tools that our RCM provides including dist-git, brew, OSBS, errata, container factory whatever. We just making sure your code is running on Red Hat downstream product and then passing through all checkpoints of a release in Red Hat. ",,,
389,Learn the productization process,Get help from RCM,Ask for where to put in a ticket,AH,RCM*PE,PE,[00:25:53] It's not uncommon for people to basically just go to RCM first and say please help and then we'll just redirect them to the right ticket system.,,,
387,Learn the productization process,Get help from RCM,Open a ticket for RCM,AH,RCM*PE,PE,[00:24:26] people open a ticket on a website and then it'll get automatically assigned to the person who is working on your product. ,"[00:22:36] So if you work on CEPH, the number of RCM tickets you'll have to submit are pretty low because you can basically all the builds are done automatically and generating artifacts for quality assurance the tests are all done automatically. ","[00:25:18] if you want to request you know something for the production purposes there's a separate system, called RT, that accepts tickets over email.",
386,Learn the productization process,Get help from RCM,Request RCM help when automation fails,AH,RCM*PE,PE,[00:22:51] No part during that building development cycle does RCM need to get involved unless there's a problem with the automation. ,,,
246,Learn the productization process,Learn what needs to be done for new tech,Discover requirements for new technologies,RH,RCM,RCM,[00:30:40] there'll be like a meeting or two to hash things out with the person who's requesting things like you asked for this but is like it which is like up here and if we weren't able to deliver you something down here is that gap like a blocker for you or what is that extra stuff just like nice to have. ,,,
248,Learn the productization process,Learn what needs to be done for new tech,Investigate corner cases for new technology,RH,RCM,RCM,[00:02:56] I've been really involved in the multi arch enablement work for open shift which has been adding even more collaboration with the multi arching open shift teams and the exploring the corner cases over configuration how to bootstrap a product that's already been released. The sort of retroactively become multi arch.,,,
249,Learn the productization process,Learn what needs to be done for new tech,Investigate new procedures and technologies,RH,RCM,RCM,[00:28:19] And I look at the ticket and see like wow we've never done that before.,,,
251,Learn the productization process,Learn what needs to be done for new tech,Learn about new tools,JB,RCM,RCM,"[00:11:31] always getting new tools from, dev ops teams, automation teams, so trying to stay ahead of that is always fun. A lot of us just like learn knowledge over time.",,,
254,Learn the productization process,Learn what needs to be done for new tech,Start conversations about new technologies,RH,RCM,RCM,"[00:28:37] that was that particular one there wasn't much technical action for me but then that triggered, you know, conversations. ",,,
276,Learn the productization process,Onboard new product,Meet with team from newly acquired company,JB,RCM,RCM,[00:15:58] So say we like. We acquire a company. Someone from our group will work directly with them to basically take what they're building and make it into our way of doing things.,,,
281,Learn the productization process,Onboard new product,Onboard new products,AH,RCM,RCM,[00:16:19] we need to hire two new people for each product basically. We're adding products a lot faster than we're adding people. ,,,
15,Learn the productization process,Onboard new product,Onboard new project teams,EE,PE,PE,[00:14:43] constantly onboarding new new projects for this product. ,,,
278,Learn the productization process,Onboard new product,Share documentation with newly acquired teams,JB,RCM,RCM,"We passed around all the documentation, slides, how to contact everybody... ",,,
279,Learn the productization process,Onboard new product,Work with acquired products to onboard,RH,RCM,RCM,"[00:54:32] Onboarding new products I don't think could ever be automated. I guess to go back to that other question. There's so much exploratory information and especially from an acquisition, oh man, is that full of data like oh these are the core OS stuff or interacting primarily with people that are already on red hat that have tried to work with them but on other areas or new people that aren't happy to be here or aren't happy to just spend all their time also trying to integrate with our stuff can be tricky. ",,,
282,Learn the productization process,Onboard new product,Work with new acquisitions to the RH productization process,AH,RCM,RCM,[00:01:48] ink tank was an acquisition that they kind of came in with pretty much everything and all we had to do is figure out how to map what they were doing into our system. ,,,
284,Learn the productization process,Onboard new product,Work with new products to make them fit RH productization process,AH,RCM,RCM,[00:03:32] trying to fit these different ideas into the way RHEL has been doing it for many years is part of RCM's job there.,,,
151,Learn the productization process,Stand in for security & legal,Bring up legal and compliance concerns in product meetings,RH,RCM,RCM," typically export compliance and legal aren't regular invitees to product program meetings, because there isn't like one of them per product like there is for security or RCM",,,
152,Learn the productization process,Stand in for security & legal,Bring up security concerns in product meetings,RH,RCM,RCM,"[00:20:26] most of the time security is there. But you never know, if they're not there on the call that day like. I don't know if that sounds like it's risky to me.",,,
218,Learn the productization process,Stand in for security & legal,Find information on policies,RH,RCM,RCM,"[00:20:48] They'll do their due diligence, But sometimes if I'm feeling charitable or I don't necessarily trust the willingness to go fetch it, I'll go fetch it. ",,,
219,Learn the productization process,Stand in for security & legal,Follow legal requirements,RH,RCM,RCM,"[00:10:30] he kind of aggregates requirements from RCM, security, GPL, export compliance, and legal to make sure that you know if we're doing anything different, we're doing it in a way that we can reproduce and that meets everyone's needs internally and that we're giving it out in a way that offers us legal and licensing requirements.",,,
220,Learn the productization process,Stand in for security & legal,Follow licensing requirements,RH,RCM,RCM,"[00:10:30] he kind of aggregates requirements from RCM, security, GPL, export compliance, and legal to make sure that you know if we're doing anything different, we're doing it in a way that we can reproduce and that meets everyone's needs internally and that we're giving it out in a way that offers us legal and licensing requirements.",,,
178,Learn the productization process,Tribal knowledge,Guide people to the correct ticketing system,AH,RCM,RCM,[00:25:53] It's not uncommon for people to basically just go to RCM first and say please help and then we'll just redirect them to the right ticket system.,,,
91,Learn the productization process,Tribal knowledge,Familiarize self with layered products,NC,QE,QE,[00:05:22] we are quite familiar already with the layered products,,,
241,Learn the productization process,Tribal knowledge,Know which metadata is safe to change,AH,RCM,RCM,[00:53:52] Risks of dealing with these systems is that if you make changes to certain types of metadata it will actually break satellite for all satellite customers. So you have to be careful which things are changed when... and A lot of that knowledge is captured in the engineer's brain and not in process documents.,,,
193,Learn the productization process,Tribal knowledge,Talk to tool experts,AH,RCM,RCM,[00:05:15] you really need experts in the tools to tell you like how long something is going to be or what the impact of the changes.,,,
509,Learn the productization process,Tribal knowledge,Have knowledge of internal systems,PG,PE,PE,"In-depth knowledge of the internal systems. Things you can't just look up on Google. Let's put it that way. You couldn't search google and find how to use brew. Or PNC, or where all the documents are contained or how to run through the gate checks or what the resources are for work with RCM or syncing up internal records and what's the correct process and the correct people to even talk to. ",,,
528,Learn the productization process,Tribal knowledge,Learn what libraries other products are using,PG,PE,PE,[00:40:51] One of the things I get to know what the other groups do and what they use all the time.,,,
244,Learn the productization process,Use team members to learn,Ask more experienced RCM members for help,RH,RCM,RCM,"[00:41:37] If you're new to RCM and so that's when they might reach out to somebody else like ""hey look you know here's the problem how do I handle this"". And a good RCM engineer would say like ""well hold on here. You need to re ask some questions about ask some questions about that"" but they can also be like ""Here's the docs and here's in particular and the documentation of where that particular question is addressed"" and it so happens that all the rest of the stuff you're going to have to do associated with that, is also addressed in this doc.",,,
245,Learn the productization process,Use team members to learn,Copy processes from others in order to learn,AH,RCM,RCM,Katie: [00:05:43] How do you know what to work on?; Andrew: [00:05:49] Well I started by copying what someone else was doing when I joined the company and then two years later I kind of had covered every system,,,
