TID,Mental Space,Task tower,Atomic task,ID,Type,Quote,Quote 2,Quote 3,Quote 4
203,,Create release artifacts,Set up product varients in errata tool,JB,RCM,"[00:04:15] We have multiple variants so you'll have a client, a workstation, desktop, server, different bundles of code that we would set up multiple variants for that and bundle lo each variant would have a set of repositories for where everything actually ships.",,,
204,,Create release artifacts,Set up Pulp,RH,RCM,[00:48:14] there's a request for the build side which is like set up dist-git and brew so I can build this image and there's the request for the delivery side which is that pulp and container catalogue for this image to be distributed on.,,,
205,,Create release artifacts,Set up repository for dev teams,JB,RCM,[00:02:53] We set out the brew tags in the build system so they're able to build stuff. Set up a repository so they can commit their code.,,,
368,,Create release artifacts,Do new product version setups,RH,RCM,[00:42:43] Like new products version setups is like just a rehearsed monotony for me ,,,
370,,Create release artifacts,Do repetative product set-up tasks,RH,RCM," [00:24:30] I know developer tools is having a new release in January, and granted when product teams are good, as developer tools is, they all kind of file those tickets for me instead of me ?? Myself just to track and that involves a host of, through dist-git, punchy, which is one of our compose tool setup, errata tool that's like a soup to nuts enablement of a given product version. ",,,
288,,CVEs,Prepare [resources] for CVEs before officially announced,JB,RCM,[00:33:59] we've had other times where we knew that you know like the CVE I think we kind of knew that it was going to happen but we had to wait until somebody broke you know broke silence and that's when we all kind of got called in. ,,,
312,,CVEs,Get resources to cover possible CVEs,RH,RCM,"[00:23:07] there's this there's this secret thing that I can't tell you about that's going to be coming soon that we're going to have to do crazy amount of container releases for... It just a big wink wink that a CVE is coming. I don't know. Those sort of like, responding to, you know, how ready are we? And are we going to need resources for that? Sort of thing.",,,
362,,Define correct configuration,Define configuration for each container,JB,RCM,"[00:34:59] for instance the containers that I'm sending out now basically we have to tell it where we're sending it, What repository we're sending it, And then what tags we're adding to it",,,
363,,Define correct configuration,Define metadata for product configuration (automation),AH,RCM,"[00:28:37] we had a project to try to capture the, in the abstract, the metadata that defines a product configuration. But that turned out not to be high priority enough when there was a bunch of other stuff going on so that never got anywhere. ",,,
428,,Dependencies,Add module to runtime dependency tree,AS,PE ,"[00:17:29] What might happen is there might be some new module on upstream which is not part of the runtime the dependency tree, but they want but in the maven repository so we have to go in and manually add that.",,,
430,,Dependencies,Use dependencies from EAP,AS,PE,[00:20:10] We actually try use a lot of dependencies from EAP but that's not always possible. ,,,
431,,Dependencies,Align dependencies across products,AS,PE,[00:20:25] there are some requirements to align the dependencies across the all or some products like EAP and some other. So this is usually done at the upstream at sort of to have the same versions but sometimes done only in productization phase. ,,,
433,,Dependencies,Analyse what dependencies are needed,AS,PE,[00:21:11] You will get that requirement you need to analyse what needs to be done. I mean what type or what sort of dependecies.,,,
100,,Determine when to start testing,Watch for message about complete builds,NC,QE,"[00:10:22] there should be like a defined message right. You need to have a specific subject to look for, to listen to, and some attributes probably. Once you have once you are supporting multiple versions then you need the version to know what to trigger. But it's really about defining it. Defining it. So the version link maybe to, to Brew. With all the bits ",,,
108,,Determine when to start testing,Determine when to start testing builds,NC,QE,"[00:16:51]  the leads was answering, were answering ""hey I'm done, hey I'm done, storage is done"" blah blah blah. And then I know that at least according to them, its ready. So then we can go ahead and try it.",,,
109,,Determine when to start testing,Use time and deadlines to decide when to start testing,NC,QE,"[00:16:51] So for example 1.4 should go out in 2 months, a bit less. ... So then we can go ahead and try it.",,,
417,,Development,Use 3rd party artifacts,AS,PE*UD,[00:10:49] our community side might be using an artifact and it may exist in the community in maven central or in the JBOSS repository but it doesn't exist in brew's repository.,,,
429,,Development,Change without notifying downstream,AS,PE*UD,[00:18:21] upstream is changing without notification of us.,,,
477,,Development,Deprecate old packages and items,PG,PE*UD,[00:04:47] Minor release depends on the Upstream Group groups some of them can deprecate things at that level - they're not supposed to either ,,,
483,,Development,Make changes that may effect PE,PG,PE*UD,[00:07:49] many of the engineers upstream don't realize the implications of what they do and what what what effects that'll have. I really can't tell them not to do it. They're free to do whatever they want in the Upstream. ,,,
568,,Development,Do development based on mailing list contents,MP,UD,then there is of course the RHEL8 development list. Sometimes people say hey we need to make this kind of changes to all the packages or we have this problem. We discussed it there and sometimes work also comes from there.,,,
574,,Development,Convince others to adopt your changes,MP,UD,"like about the RHEL process it's really hard to do this because it involves like knowing who to talk to, finding people, begging them to acknowledge your bug.",,,
513,,Do build,Change configurations and run builds to see if it will build,PG,PE, Change a lot of things running them until the until you get them right. ,,,
443,,Do release,Do 2 candidate releases,AS,PE,[00:37:25] On average we will do I would say 2 candidate releases now.,,,
168,,Do release,Be involved with release,AH,RCM,[00:00:48] The level to which the release engineer is involved in the release compared to the engineers on a given product varies pretty wildly from product to product. ,,,
242,,Do release,"""Click a button"" in errata tool to do release",JB,RCM,"[00:25:26] The full release is all driven through errata tool. I just click button where beta, beta release is a lot of manual work sorting everything out.",,,
294,,Do release,Release software,AH,RCM,"[00:06:56] And then there are days where we're actually releasing software. For CEPH, It takes me about 10 minutes of total work and about two hours of waiting and RHEL8 it takes five days to do it.",,,
297,,Do release,Run script to release on release day,JB,RCM,[00:23:14] mostly a lot of the work is done ahead of release day. Release day is just doing the actual run of the script or running whatever to send it off the door. ,,,
299,,Do release,Start a final release,AH,RCM,[00:39:11] the RCM team is really in charge of pressing the final button to release.,,,
303,,Do release,Deliver on time,RH,RCM,[00:50:12] To deliver bits to customers in a timely efficient and unbroken manner. Though when it's time to release we have bits alive and ready for customers usable when we say we're going to have them.,,,
305,,Do release,"Manual tasks to release Ubuntu, in parallel to standard release",AH,RCM,[00:14:42] for example CEPH ships Ubuntu contents as well and that can't be managed this way. So the Ubuntu system is a different style and it's the pipeline looks nothing like the RPM and RHEL side of things so there's just like parallel release process always happening at the same time for stuff that we just have to basically do everything twice for.,,,
306,,Do release,"Manually perform small, automatable tasks",AH,RCM,[00:23:27] we're dealing with the day to day asks for the smaller level stuff that on other products we have automated.,,,
369,,Do release,Do release administration ,AH,RCM,"[00:55:32] You you have a little bit of the functionality available, and a lot of the regular workflow stuff can be automated, and actually that's what CEPH does for most of it. Very little button clicking in errata tool for CEPH, but when it comes to RCM side of things the product administration that release administration almost none of that can be done programmatically",,,
471,,Do upstream release,Do community release,PG,PE*UD,"[00:02:39] So the upstream, Basically they stop at the point that they have done a community release.",,,
550,,Do upstream release,Release at end of each sprint,MP,UD,[00:11:14] at the end of every cycle at the end of every sprint 14 days we do a release. So Every other Wednesday. ,,,
551,,Do upstream release,Engineer asks team if there is anything for the release,MP,UD,like on the day before we say OK. Is there anything pending that people have which will make the release,,,
554,,Do upstream release,Upload releases directly to pre-beta RHEL,MP,UD,So during that time until the beta freeze I was actually able and also I was actually uploading all the 14 days releases directly to RHEL on the same day. ,,,
562,,Do upstream release,Fork features,MP,UD,"If you would land a big unrelated feature in master now, in the upstream releases and you would have to call this fork.",,,
208,,,Define policies for how releases are done,JB,RCM,[00:39:25] Policies and things that we define for creating things like templating how we do things. ,,,
211,,,Document mechanical steps for a process,AH,RCM,"[00:10:32] None of us like doing the same thing everyday. So when we can at least capture it even if it's not automated, we can capture the mechanical instructions in one place.",,,
212,,,Document processes,RH,RCM,"[00:23:50] in our other Q are more or RCM like internal process sort of things like: investigate, you know, why we do this a certain way and/or, document this process because we don't have any documentation on it or, write a better way to or an easier interface for doing Operation X, and documented that sort of stuff",,,
214,,,Write down steps and requirements needed for various tasks,AH,RCM,"[00:10:06] You either learn the hard way, and start writing everything down, or you watch someone else learn the hard way and start writing everything down.",,,
243,,,Investigate why a task is done a certain way,RH,RCM,"[00:23:50] in our other Q are more or RCM like internal process sort of things like: investigate, you know, why we do this a certain way and/or, document this process because we don't have any documentation on it or, write a better way to or an easier interface for doing Operation X, and documented that sort of stuff",,,
364,,,Define processes for each product independently,AH,RCM,[00:03:01] There's no standard that applies to multiple products. It's all pretty much completely independent. ,,,
453,,,Document processes for new members,AS,PE,we're trying to document a lot of this now as we found some new members join out team,,,
26,,,Document how builds should go ,EN,PE,"[00:18:49] I had to do very in-depth research to to understand what these failures mean, for example, how they affect the component or their release and at the end all of that information ended in the Downstream document. That's how it grow up to 30 pages. ",,,
